Date,Open,High,Low,Close,Adj Close,Volume
2018.4.10,48540,49220,48040,48880,43907.47266,10984350
2018.4.11,49900,49900,48600,48860,43889.49609,10051100
2018.4.12,49440,49440,48880,49000,44015.26172,12466250
2018.4.13,49600,50180,49400,49800,44733.875,10278300
2018.4.16,50320,50600,49860,50340,45218.94141,7877450
2018.4.17,50240,50540,49820,49980,44895.56641,7772000
2018.4.18,51000,51360,50580,51360,46135.17188,13462600
2018.4.19,52000,52980,51540,52780,47410.72266,17190550
2018.4.20,51800,52260,51420,51620,46368.73438,11761000
2018.4.23,51000,52080,51000,51900,46620.24219,11619000
2018.4.24,51840,51860,50080,50460,45326.73047,15770300
2018.4.25,49220,50500,49220,50400,45272.83594,16614600
2018.4.26,50420,52160,50400,52140,46835.82813,18046550
2018.4.27,53380,53640,52440,53000,47608.33594,30310800
2018.4.30,53000,53000,53000,53000,47608.33594,1
2018.5.2,53000,53000,53000,53000,47608.33594,1
2018.5.3,53000,53000,53000,53000,47608.33594,1
2018.5.4,53000,53900,51800,51900,46620.24219,39565391
2018.5.8,52600,53200,51900,52600,47249.03125,23104720
2018.5.9,52600,52800,50900,50900,45721.96484,16128305
2018.5.10,51700,51700,50600,51600,46350.75781,13905263
2018.5.11,52000,52200,51200,51300,46081.27734,10314997
2018.5.14,51000,51100,49900,50100,45003.35547,14909272
2018.5.15,50200,50400,49100,49200,44194.91016,18709146
2018.5.16,49200,50200,49150,49850,44778.78906,15918683
2018.5.17,50300,50500,49400,49400,44374.57031,10365440
2018.5.18,49900,49900,49350,49500,44464.38672,6706570
2018.5.21,49650,50200,49100,50000,44913.52734,9020998
2018.5.23,50600,52000,50400,51800,46530.42188,17095490
2018.5.24,52000,52000,51100,51400,46171.10547,8289275
2018.5.25,51000,52800,50800,52700,47338.85938,15207266
2018.5.28,52500,53000,52000,52300,46979.55078,9787820
2018.5.29,52200,52500,51300,51300,46081.27734,8480437
2018.5.30,51300,51500,49100,49500,44464.38672,20498098
2018.5.31,50400,50800,49850,50700,45542.31641,63491109
2018.6.1,50500,51700,49950,51300,46081.27734,13038499
2018.6.4,50800,51200,50700,51100,45901.62891,9767171
2018.6.5,51100,51400,50400,51300,46081.27734,9144100
2018.6.7,51800,51800,50500,50600,45452.48438,13590016
2018.6.8,50200,50400,49600,49650,44599.14453,16951706
2018.6.11,49750,50300,49350,49900,44823.69531,10571312
2018.6.12,49700,49800,49250,49400,44374.57031,12110569
2018.6.14,49000,49000,48200,48200,43296.63672,20971729
2018.6.15,48500,48700,47650,47650,42802.58984,17080892
2018.6.18,47600,47650,46200,46600,41859.40625,16661870
2018.6.19,47200,47350,46500,47000,42218.71875,15217971
2018.6.20,47450,47600,46850,47000,42218.71875,12959316
2018.6.21,47900,47900,47050,47050,42263.625,10015541
2018.6.22,47000,47250,46200,47250,42443.28516,10298006
2018.6.25,47050,47050,46150,46650,41904.32031,10587711
2018.6.26,45900,47300,45900,47000,42218.71875,11223166
2018.6.27,47450,48500,47000,47950,43072.07813,15274752
2018.6.28,46850,47150,46600,46800,42351.73438,12784800
2018.6.29,46250,47150,46200,46650,42215.98828,14099635
2018.7.2,46500,47150,45500,45550,41220.55078,13112253
2018.7.3,45750,46450,45750,46150,41763.51172,10959655
2018.7.4,46700,47050,46050,46250,41854.00781,8776763
2018.7.5,46100,46550,45600,45950,41582.51563,7039773
2018.7.6,45500,45850,44650,44900,40632.32422,17843706
2018.7.9,45500,46100,45200,45600,41265.78906,11602464
2018.7.10,46200,46550,46100,46300,41899.25781,10528665
2018.7.11,46400,46450,45400,46000,41627.76953,11224077
2018.7.12,45900,46250,45450,45500,41175.29297,11828104
2018.7.13,45800,46500,45750,46500,42080.24609,11543389
2018.7.16,46800,46800,46000,46050,41673.01563,7678719
2018.7.17,46150,46200,45600,45850,41492.03125,8892953
2018.7.18,46700,47200,46450,46550,42125.49219,10952645
2018.7.19,47050,47200,46600,46900,42442.23047,9880128
2018.7.20,47000,47600,46700,47450,42939.94922,10474547
2018.7.23,47100,47200,46150,46500,42080.24609,10823782
2018.7.24,46350,46600,45950,46150,41763.51172,8261363
2018.7.25,46250,46550,45900,46150,41763.51172,7222471
2018.7.26,46100,47000,46000,46900,42442.23047,7374946
2018.7.27,46450,47000,46450,46900,42442.23047,4762460
2018.7.30,46550,46800,46350,46500,42080.24609,5723035
2018.7.31,46200,46450,46000,46250,41854.00781,8033607
2018.8.1,46050,46850,46050,46550,42125.49219,7484499
2018.8.2,46550,46800,45500,45550,41220.55078,8560924
2018.8.3,45850,45900,45450,45750,41401.53125,8274944
2018.8.6,46150,46150,45750,45800,41446.78125,6771979
2018.8.7,46300,46750,45900,46700,42261.23438,9058174
2018.8.8,47000,47000,46550,46800,42351.73438,6429338
2018.8.9,47000,47050,46450,46900,42442.23047,12010886
2018.8.10,46150,46400,44850,45400,41084.80469,16670643
2018.8.13,44950,45100,44650,45050,40768.0625,9803831
2018.8.14,44850,45400,44850,45150,40858.56641,6409259
2018.8.16,43800,44650,43700,44250,40044.09766,10088229
2018.8.17,44050,44400,44050,44100,39908.36719,6808747
2018.8.20,43500,44200,43500,43850,39682.12891,7289124
2018.8.21,43700,44900,43700,44800,40541.83203,9520270
2018.8.22,45150,46200,44900,46100,41718.26953,11641656
2018.8.23,46150,46200,45700,46200,41808.76563,6730918
2018.8.24,45900,46400,45550,46150,41763.51172,6582535
2018.8.27,46100,46550,46000,46300,41899.25781,5263782
2018.8.28,46800,46950,46300,46550,42125.49219,7365976
2018.8.29,46750,46800,46400,46800,42351.73438,5572374
2018.8.30,46950,47950,46700,47650,43120.93359,12193231
2018.8.31,47100,48450,47000,48450,43844.90234,13577454
2018.9.3,48200,48300,47300,47450,42939.94922,8595084
2018.9.4,47550,47800,47200,47650,43120.93359,6791255
2018.9.5,47300,47450,46400,46600,42170.74219,9139998
2018.9.6,46200,46400,45800,46100,41718.26953,9040553
2018.9.7,44500,45200,44400,44900,40632.32422,18285508
2018.9.10,45450,45550,45000,45500,41175.29297,9979838
2018.9.11,45550,45900,45050,45050,40768.0625,9865790
2018.9.12,44900,45100,44500,44550,40315.59766,12995269
2018.9.13,44550,44750,44000,44050,39863.11328,18277942
2018.9.14,45000,45850,44900,45850,41492.03125,12446344
2018.9.17,45550,45800,44900,45150,40858.56641,8123384
2018.9.18,44950,45900,44700,45500,41175.29297,9987090
2018.9.19,46000,46200,45700,46150,41763.51172,9367454
2018.9.20,46850,47600,46400,47250,42758.96094,13536966
2018.9.21,46550,47550,46550,47400,42894.70313,14476906
2018.9.27,46950,47500,46450,47500,43308.64063,15804586
2018.9.28,47250,47250,46300,46450,42351.29297,11270515
2018.10.1,46450,46800,45800,46350,42260.10938,6354983
2018.10.2,46450,46700,45700,45700,41667.47656,6607188
2018.10.4,45150,45600,44700,44700,40755.71094,11865327
2018.10.5,44800,45500,44550,44700,40755.71094,10544165
2018.10.8,44200,45200,44200,44950,40983.65234,6759464
2018.10.10,45250,45500,44500,45300,41302.77344,10341349
2018.10.11,44000,44650,43100,43100,39296.89844,19324537
2018.10.12,43200,44650,43200,44000,40117.48047,12640906
2018.10.15,44050,44050,43350,43800,39935.125,7434522
2018.10.16,43700,44150,43350,43600,39752.77344,6825677
2018.10.17,44150,44500,44000,44150,40254.24219,8306193
2018.10.18,43950,44450,43700,44050,40163.06641,8347725
2018.10.19,43900,44150,43450,43900,40026.30078,7842520
2018.10.22,43450,43950,43200,43550,39707.18359,8357648
2018.10.23,43300,43450,42550,43050,39251.30469,9531231
2018.10.24,43050,43100,42250,42550,38795.42578,13522825
2018.10.25,40600,41550,40550,41000,37382.19922,19338170
2018.10.26,41100,41300,40400,41000,37382.19922,14413864
2018.10.29,40850,41950,40550,41400,37746.89844,14460521
2018.10.30,41400,43000,41000,42350,38613.07422,14205190
2018.10.31,42900,43350,41700,42400,38658.65625,17621480
2018.11.1,42450,42950,42150,42150,38430.72266,13423132
